time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-12.7,-19.7,-5.6,0.0,33.0,2.2,1019.4
2021-01-02,-6.3,-8.3,-4.3,0.0,213.0,7.0,1011.3
2021-01-03,-5.6,-12.6,1.4,0.0,183.0,7.4,1003.8
2021-01-04,-6.6,-12.6,-0.7,1.4,195.0,6.5,1003.3
2021-01-05,-4.1,-7.2,-1.1,0.1,346.0,5.1,1018.0
2021-01-06,-7.0,-8.1,-5.8,0.0,110.0,3.9,1030.7
2021-01-07,-9.8,-16.3,-3.3,0.0,211.0,4.6,1031.7
2021-01-08,-11.0,-19.4,-2.7,0.1,303.0,6.8,1029.0
2021-01-09,-6.0,-6.8,-5.2,0.0,299.0,9.8,1026.8
2021-01-10,-5.1,-7.0,-3.3,0.0,253.0,11.9,1020.1
2021-01-11,-6.4,-9.3,-3.4,0.0,281.0,12.6,1012.1
2021-01-12,-6.0,-11.6,-0.4,0.0,217.0,7.2,1008.1
2021-01-13,-2.6,-3.4,-1.9,0.1,270.0,9.0,1002.8
2021-01-14,-2.3,-4.0,-0.5,0.0,145.0,12.8,1004.2
2021-01-15,-3.2,-4.6,-1.7,0.2,92.0,5.2,1009.8
2021-01-16,-11.3,-18.0,-4.6,0.0,21.0,6.6,1012.3
2021-01-17,-15.8,-26.1,-5.6,0.0,347.0,2.2,1011.4
2021-01-18,-16.6,-20.5,-12.8,2.7,340.0,5.3,1013.0
2021-01-19,-25.4,-30.5,-20.3,0.0,314.0,9.2,1022.1
2021-01-20,-15.4,-24.0,-6.7,2.3,165.0,12.0,999.8
2021-01-21,-13.7,-20.2,-7.2,0.2,319.0,18.1,1001.5
2021-01-22,-19.3,-22.8,-15.7,0.0,282.0,9.5,1019.8
2021-01-23,-15.0,-20.1,-9.8,0.0,235.0,5.0,1024.2
2021-01-24,-11.1,-15.7,-6.6,2.3,123.0,10.5,1017.2
2021-01-25,-18.5,-22.5,-14.6,0.0,305.0,11.8,1024.7
2021-01-26,-17.7,-19.3,-15.9,0.0,330.0,5.3,1027.0
2021-01-27,-21.2,-25.9,-18.3,0.0,314.0,10.0,1034.7
2021-01-28,-22.4,-30.7,-14.1,0.0,305.0,8.0,1038.7
2021-01-29,-20.6,-33.9,-7.2,0.0,323.0,2.0,1034.7
2021-01-30,-18.9,-30.2,-7.7,0.0,65.0,4.2,1028.9
2021-01-31,-11.4,-19.5,-3.4,0.0,90.0,3.1,1027.6
2021-02-01,-7.9,-16.0,0.2,0.3,12.0,1.7,1026.8
2021-02-02,-11.4,-19.2,-3.6,0.0,99.0,5.2,1027.8
2021-02-03,-10.1,-18.3,-1.9,0.0,146.0,12.2,1014.2
2021-02-04,-7.2,-13.7,-0.7,2.8,206.0,11.3,996.6
2021-02-05,-17.2,-20.7,-13.7,1.5,318.0,20.2,995.3
2021-02-06,-23.4,-26.1,-20.7,0.3,302.0,23.6,1006.0
2021-02-07,-26.1,-29.8,-22.3,0.1,287.0,23.5,1016.0
2021-02-08,-28.0,-32.7,-23.3,0.0,252.0,14.7,1021.6
2021-02-09,-29.5,-36.7,-22.3,0.0,241.0,9.2,1022.7
2021-02-10,-30.8,-40.4,-21.2,0.0,332.0,3.2,1030.9
2021-02-11,-31.1,-42.2,-20.0,0.0,315.0,3.0,1038.2
2021-02-12,-27.9,-36.9,-18.8,0.0,19.0,4.5,1037.8
2021-02-13,-27.2,-35.5,-18.9,0.0,339.0,4.0,1034.6
2021-02-14,-28.6,-35.9,-21.4,0.0,320.0,9.1,1035.1
2021-02-15,-25.3,-35.0,-15.6,0.0,286.0,8.3,1033.2
2021-02-16,-23.6,-34.9,-12.2,0.0,314.0,8.8,1024.3
2021-02-17,-19.6,-30.7,-8.5,0.0,296.0,7.1,1027.0
2021-02-18,-19.9,-33.8,-6.0,0.0,323.0,3.2,1030.4
2021-02-19,-16.5,-26.0,-7.1,0.0,291.0,3.3,1024.7
2021-02-20,-18.9,-31.5,-6.3,0.0,178.0,7.8,1022.3
2021-02-21,-6.9,-13.2,-0.6,0.0,164.0,11.2,1013.2
2021-02-22,0.2,-3.6,3.9,1.2,190.0,13.0,990.8
2021-02-23,-4.5,-9.6,0.6,0.8,312.0,16.0,998.5
2021-02-24,-17.7,-26.1,-9.3,0.0,335.0,7.5,1018.0
2021-02-25,-16.2,-26.3,-6.1,0.0,132.0,5.5,1020.7
2021-02-26,-1.5,-8.3,5.3,0.2,202.0,14.4,1002.4
2021-02-27,-10.4,-21.2,0.5,0.4,11.0,8.4,1015.6
2021-02-28,-12.0,-17.2,-6.9,0.1,323.0,11.3,1013.8
2021-03-01,-19.8,-26.3,-13.3,0.0,293.0,15.5,1023.2
2021-03-02,-10.3,-18.5,-2.1,1.8,184.0,8.1,1007.7
2021-03-03,-11.1,-16.2,-5.9,0.0,10.0,6.0,1020.9
2021-03-04,-12.0,-22.5,-1.6,0.0,335.0,3.0,1031.1
2021-03-05,-13.2,-24.7,-1.6,0.0,332.0,5.9,1032.4
2021-03-06,-14.5,-27.5,-1.4,0.1,335.0,3.3,1031.9
2021-03-07,-13.9,-27.7,0.0,0.0,144.0,14.9,1022.0
2021-03-08,1.3,-6.8,9.4,0.0,293.0,13.8,1016.0
2021-03-09,-1.1,-6.9,4.6,0.9,148.0,11.0,1015.7
2021-03-10,-0.6,-8.0,6.8,0.2,9.0,14.1,1010.3
2021-03-11,-5.8,-13.2,1.7,2.3,339.0,13.4,1008.3
2021-03-12,-12.1,-18.6,-5.7,0.0,286.0,17.8,1027.2
2021-03-13,-1.0,-8.5,6.4,0.0,283.0,18.7,1020.2
2021-03-14,-10.4,-17.3,-3.5,0.0,,,
2021-03-15,-7.9,-21.6,5.8,0.0,164.0,8.2,1028.4
2021-03-16,-2.8,-15.4,9.9,0.0,205.0,7.4,1016.0
2021-03-17,0.5,-5.4,6.4,0.0,316.0,8.9,1015.6
2021-03-18,-4.2,-13.6,5.2,0.0,80.0,6.3,1029.8
2021-03-19,0.3,-11.5,12.2,0.0,198.0,10.3,1025.7
2021-03-20,5.4,-4.1,14.8,0.0,182.0,12.0,1018.1
2021-03-21,5.7,0.2,11.2,0.2,156.0,13.6,1009.7
2021-03-22,1.4,-5.4,8.3,0.4,286.0,9.8,1011.6
2021-03-23,1.0,-8.5,10.4,0.0,348.0,3.5,1019.9
2021-03-24,-6.5,-10.6,-2.4,14.0,30.0,10.8,1015.7
2021-03-25,-7.1,-13.1,-1.2,0.7,21.0,8.6,1018.4
2021-03-26,-8.6,-17.6,0.3,0.0,99.0,9.1,1021.6
2021-03-27,-2.8,-6.0,0.4,5.2,144.0,6.9,1014.9
2021-03-28,-8.7,-17.9,0.5,0.0,329.0,8.4,1015.4
2021-03-29,-6.0,-17.9,2.1,0.0,130.0,18.5,1007.1
2021-03-30,-0.4,-7.9,4.1,0.0,235.0,24.1,992.4
2021-03-31,-12.7,-21.0,-4.5,0.0,331.0,11.3,1021.8
2021-04-01,-10.1,-25.4,5.2,0.0,265.0,7.0,1031.1
2021-04-02,-3.4,-12.5,5.7,0.0,155.0,18.7,1021.2
2021-04-03,4.0,-4.8,12.8,0.2,316.0,9.8,1014.6
2021-04-04,4.6,-2.4,11.5,0.0,50.0,5.8,1020.5
2021-04-05,5.7,-2.0,13.3,0.0,140.0,13.4,1012.6
2021-04-06,5.7,-2.5,14.0,0.0,311.0,8.8,1010.1
2021-04-07,4.0,-2.0,10.0,0.0,24.0,6.8,1017.2
2021-04-08,2.6,1.0,4.2,28.4,76.0,11.2,1013.1
2021-04-09,6.1,1.1,11.0,1.2,112.0,9.9,1004.1
2021-04-10,5.4,3.1,7.7,0.6,228.0,7.5,1003.7
2021-04-11,2.7,0.0,5.4,4.3,20.0,8.4,1008.5
2021-04-12,1.4,-0.4,3.2,7.8,55.0,9.0,1011.5
2021-04-13,3.2,0.9,5.5,15.9,40.0,8.1,1013.0
2021-04-14,-0.7,-3.4,1.9,12.4,1.0,6.6,1021.3
2021-04-15,-0.3,-4.9,4.4,0.0,346.0,8.1,1022.7
2021-04-16,0.3,-8.5,9.1,0.0,333.0,7.6,1020.1
2021-04-17,1.9,-7.4,11.1,0.0,316.0,5.8,1016.0
2021-04-18,1.8,-5.0,8.6,6.2,14.0,7.2,1010.2
2021-04-19,-3.2,-8.1,1.7,0.1,357.0,12.8,1014.1
2021-04-20,-4.5,-9.4,0.3,0.0,328.0,11.3,1019.0
2021-04-21,-4.3,-13.7,5.1,0.0,306.0,8.5,1017.0
2021-04-22,3.8,-8.3,15.8,0.0,273.0,7.2,1008.6
2021-04-23,5.4,-4.1,14.9,0.1,328.0,10.8,1007.1
2021-04-24,-1.8,-7.8,4.2,1.1,11.0,7.3,1016.9
2021-04-25,-2.3,-11.5,6.9,0.0,159.0,10.8,1018.1
2021-04-26,0.2,-3.7,4.1,0.0,153.0,15.6,1016.5
2021-04-27,4.5,-3.7,12.6,0.0,148.0,7.4,1014.0
2021-04-28,5.6,-6.2,17.4,0.0,349.0,4.6,1015.4
2021-04-29,3.2,-3.3,9.7,1.6,318.0,11.0,1011.4
2021-04-30,4.5,-2.3,11.2,0.0,305.0,14.1,1017.7
2021-05-01,9.7,1.8,17.6,2.3,135.0,7.9,1002.0
2021-05-02,4.0,-3.3,11.4,0.0,79.0,7.8,1007.4
2021-05-03,1.4,-3.3,6.3,12.5,53.0,6.2,1012.4
2021-05-04,2.4,0.0,6.5,10.4,14.0,5.7,1014.7
2021-05-05,4.8,0.3,9.3,0.8,314.0,10.2,1018.1
2021-05-06,3.3,-0.6,7.2,0.0,296.0,12.7,1017.2
2021-05-07,2.3,-1.1,5.7,0.0,321.0,13.5,1017.5
2021-05-08,2.3,-2.5,7.0,0.0,334.0,7.0,1019.5
2021-05-09,3.3,-1.1,7.6,0.2,346.0,9.0,1021.4
2021-05-10,2.9,-3.2,9.0,0.0,346.0,9.3,1024.3
2021-05-11,5.4,-5.1,15.8,0.0,310.0,7.9,1025.6
2021-05-12,7.7,-3.9,19.4,0.0,165.0,9.3,1025.8
2021-05-13,9.8,-3.0,22.7,0.0,252.0,6.9,1021.5
2021-05-14,11.2,0.1,22.2,6.6,10.0,5.3,1019.1
2021-05-15,12.1,5.5,18.7,0.0,80.0,6.0,1019.6
2021-05-16,12.0,2.4,21.6,6.0,155.0,13.2,1015.7
2021-05-17,13.6,6.6,20.6,0.1,65.0,6.3,1016.3
2021-05-18,17.8,5.6,30.0,0.0,160.0,13.6,1017.0
2021-05-19,14.1,6.6,21.5,0.0,145.0,13.1,1014.6
2021-05-20,11.8,8.3,15.3,14.4,128.0,7.8,1016.1
2021-05-21,13.0,8.6,17.5,1.3,45.0,4.9,1018.2
2021-05-22,5.3,0.8,9.9,23.7,59.0,6.6,1022.1
2021-05-23,6.6,-0.8,14.1,0.0,86.0,9.6,1029.3
2021-05-24,8.7,0.5,16.9,2.1,138.0,11.0,1014.5
2021-05-25,15.6,6.9,24.2,0.4,150.0,10.0,999.9
2021-05-26,7.0,-1.0,14.9,1.0,315.0,19.6,1013.7
2021-05-27,4.2,-3.1,11.6,0.0,341.0,8.0,1027.3
2021-05-28,5.6,-5.5,16.7,0.0,215.0,7.5,1025.9
2021-05-29,8.6,-3.3,20.6,0.1,164.0,13.2,1021.3
2021-05-30,11.2,4.9,17.6,0.7,168.0,9.0,1017.5
2021-05-31,12.6,2.1,23.1,0.0,316.0,7.7,1017.0
2021-06-01,13.7,2.2,25.2,0.0,259.0,6.5,1016.5
2021-06-02,15.4,3.9,26.9,0.0,185.0,8.2,1009.7
2021-06-03,19.5,10.8,28.2,0.0,11.0,8.3,1003.0
2021-06-04,15.9,8.2,23.5,1.5,117.0,8.1,1002.1
2021-06-05,17.3,11.3,23.3,0.0,88.0,7.0,1003.8
2021-06-06,22.3,12.4,32.2,4.9,157.0,15.0,999.1
2021-06-07,20.8,13.4,28.3,0.0,276.0,14.6,1004.9
2021-06-08,19.7,10.0,29.3,0.0,349.0,3.9,1015.1
2021-06-09,18.3,8.9,27.8,3.3,165.0,10.3,1019.9
2021-06-10,13.0,10.8,15.3,3.1,110.0,11.4,1015.3
2021-06-11,15.2,10.7,19.8,0.0,107.0,12.4,1015.2
2021-06-12,17.4,12.4,22.4,1.2,159.0,9.4,1009.2
2021-06-13,16.5,7.3,25.6,1.0,310.0,10.1,1010.6
2021-06-14,14.5,8.4,20.5,0.0,331.0,6.8,1015.2
2021-06-15,13.1,2.7,23.5,0.0,343.0,5.6,1022.5
2021-06-16,14.4,1.6,27.1,0.0,192.0,8.6,1016.3
2021-06-17,22.2,15.2,29.1,0.0,245.0,16.3,1002.6
2021-06-18,13.0,7.0,18.9,0.7,293.0,13.8,1001.4
2021-06-19,12.7,7.6,17.8,0.0,295.0,6.5,1008.4
2021-06-20,12.8,5.7,19.9,2.2,194.0,7.7,1002.5
2021-06-21,8.0,2.5,13.5,0.0,329.0,12.6,1006.9
2021-06-22,8.6,3.0,14.3,0.5,250.0,7.9,1008.6
2021-06-23,14.8,0.7,29.0,9.9,185.0,13.2,1001.4
2021-06-24,18.2,13.1,24.5,2.6,280.0,13.5,1005.1
2021-06-25,16.4,5.8,27.0,0.0,311.0,9.0,1010.0
2021-06-26,17.2,6.6,27.7,0.0,293.0,6.4,1008.9
2021-06-27,18.0,9.6,26.4,0.0,53.0,7.5,1010.7
2021-06-28,18.5,7.9,29.2,1.8,238.0,5.4,1015.5
2021-06-29,18.1,9.1,27.2,14.5,94.0,8.2,1016.6
2021-06-30,15.7,7.0,24.4,0.0,8.0,6.3,1018.3
2021-07-01,12.1,1.3,22.8,0.0,256.0,5.6,1022.4
2021-07-02,23.1,12.1,34.1,0.0,277.0,10.8,1014.2
2021-07-03,26.2,17.2,35.1,0.0,299.0,7.9,1008.9
2021-07-04,24.0,15.8,32.2,10.0,188.0,6.8,1003.7
2021-07-05,17.9,10.2,25.5,0.0,314.0,13.9,1005.9
2021-07-06,11.0,3.4,18.7,0.0,355.0,8.1,1019.6
2021-07-07,10.7,0.7,18.6,0.0,180.0,6.2,1021.6
2021-07-08,13.0,0.0,22.1,0.0,169.0,5.3,1016.4
2021-07-09,14.8,3.2,26.3,0.0,299.0,5.4,1014.9
2021-07-10,18.8,7.5,30.1,0.0,323.0,4.3,1013.9
2021-07-11,16.5,10.5,22.5,0.0,120.0,9.5,1017.0
2021-07-12,19.4,12.1,26.7,0.0,164.0,9.8,1015.6
2021-07-13,19.6,11.3,27.8,0.0,233.0,8.9,1011.8
2021-07-14,15.5,5.9,21.2,0.1,319.0,4.7,1017.2
2021-07-15,16.3,3.8,28.9,0.0,301.0,6.4,1014.4
2021-07-16,18.2,7.3,29.1,0.0,259.0,5.8,1014.0
2021-07-17,20.7,13.5,28.0,0.0,160.0,3.1,1018.0
2021-07-18,21.7,12.8,30.6,0.0,36.0,4.3,1020.5
2021-07-19,17.4,11.3,25.5,0.3,12.0,5.6,1017.8
2021-07-20,13.8,4.3,23.4,0.0,50.0,5.2,1023.0
2021-07-21,13.2,2.1,24.4,0.5,224.0,7.3,1021.0
2021-07-22,18.8,13.5,24.1,2.4,166.0,6.2,1019.0
2021-07-23,18.1,12.5,23.7,9.6,157.0,13.3,1013.3
2021-07-24,21.4,15.1,27.8,10.5,264.0,10.7,1003.9
2021-07-25,19.0,11.1,27.0,1.2,291.0,12.0,1006.6
2021-07-26,15.9,8.2,23.6,0.0,325.0,4.9,1012.0
2021-07-27,17.3,8.3,26.3,0.0,143.0,4.7,1015.2
2021-07-28,17.7,7.7,27.6,0.0,59.0,5.5,1012.0
2021-07-29,15.0,8.7,18.8,0.0,329.0,9.4,1017.2
2021-07-30,8.0,-0.2,16.2,6.1,248.0,4.1,1018.7
2021-07-31,14.0,8.8,19.3,2.3,325.0,6.8,1013.9
2021-08-01,16.6,11.4,21.8,0.0,315.0,7.4,1019.2
2021-08-02,18.5,10.0,27.0,1.3,283.0,12.5,1014.2
2021-08-03,18.2,11.3,25.2,0.0,132.0,5.9,1014.3
2021-08-04,21.9,11.5,32.2,0.0,248.0,8.5,1010.5
2021-08-05,18.5,14.0,23.0,26.7,150.0,5.4,1009.3
2021-08-06,11.2,4.6,17.7,0.3,348.0,6.7,1013.0
2021-08-07,11.4,3.3,19.5,0.0,90.0,7.8,1016.9
2021-08-08,12.4,4.5,20.3,0.0,173.0,6.6,1009.9
2021-08-09,21.4,17.7,25.1,0.6,161.0,6.6,1007.8
2021-08-10,19.7,16.0,23.5,6.8,162.0,9.3,1004.5
2021-08-11,19.4,14.7,24.0,3.0,229.0,11.7,997.2
2021-08-12,15.6,11.7,19.4,3.0,266.0,19.8,1001.3
2021-08-13,10.2,4.8,15.6,0.7,285.0,11.8,1013.5
2021-08-14,15.8,5.9,25.6,0.0,259.0,9.1,1017.7
2021-08-15,22.3,12.2,32.4,0.0,180.0,9.6,1011.7
2021-08-16,25.2,18.5,31.8,0.0,201.0,12.5,1008.8
2021-08-17,22.7,16.3,29.2,0.0,166.0,11.1,1007.5
2021-08-18,25.1,18.2,31.9,0.0,146.0,8.3,1012.1
2021-08-19,23.5,16.3,30.8,0.0,145.0,7.4,1013.1
2021-08-20,23.8,16.6,30.9,0.0,145.0,11.3,1008.6
2021-08-21,18.8,12.7,24.9,2.2,199.0,18.6,1001.7
2021-08-22,15.8,9.4,22.2,0.0,266.0,11.7,1014.7
2021-08-23,15.7,8.9,22.6,1.5,194.0,10.5,1008.4
2021-08-24,15.9,13.7,18.1,0.1,26.0,5.7,1013.1
2021-08-25,16.5,10.2,22.8,2.0,243.0,13.1,1014.1
2021-08-26,8.1,1.9,14.2,0.0,20.0,5.6,1024.6
2021-08-27,9.9,0.3,19.6,0.6,114.0,10.1,1023.6
2021-08-28,16.4,12.2,20.7,0.2,133.0,8.8,1015.1
2021-08-29,16.3,14.2,18.5,48.1,165.0,15.0,1003.8
2021-08-30,12.9,6.2,19.6,0.0,316.0,10.8,1010.6
2021-08-31,11.7,2.2,21.2,0.0,338.0,3.3,1015.8
2021-09-01,11.9,1.2,22.5,0.0,350.0,3.6,1019.4
2021-09-02,11.0,0.1,21.9,0.0,215.0,4.6,1021.0
2021-09-03,16.5,12.1,20.9,0.0,170.0,6.9,1016.1
2021-09-04,15.5,11.9,19.1,6.6,224.0,7.4,1007.2
2021-09-05,14.3,11.7,17.0,0.2,309.0,13.7,1004.3
2021-09-06,13.9,11.4,16.4,3.4,290.0,9.0,1008.9
2021-09-07,14.9,11.7,18.1,17.9,256.0,9.3,997.5
2021-09-08,13.3,8.2,18.4,0.4,332.0,10.2,1005.0
2021-09-09,11.4,4.4,18.5,0.0,308.0,8.8,1013.1
2021-09-10,11.4,1.8,21.0,0.0,207.0,7.7,1011.8
2021-09-11,13.4,9.3,17.4,0.1,290.0,20.0,1005.0
2021-09-12,7.6,1.4,13.8,0.0,307.0,11.8,1014.7
2021-09-13,6.6,-2.3,15.5,0.6,177.0,6.8,1018.6
2021-09-14,13.8,9.5,18.0,13.0,267.0,6.7,1006.2
2021-09-15,13.1,6.8,19.5,0.0,262.0,9.6,1009.4
2021-09-16,14.7,9.6,19.8,16.4,168.0,14.0,1005.8
2021-09-17,11.7,7.1,16.2,0.0,272.0,14.6,1010.0
2021-09-18,9.1,0.0,18.2,0.0,200.0,10.0,1019.9
2021-09-19,18.5,11.0,26.0,0.0,159.0,13.3,1006.9
2021-09-20,17.1,9.7,24.4,32.5,169.0,12.2,1002.2
2021-09-21,5.8,-0.8,12.4,6.8,330.0,9.8,1014.7
2021-09-22,8.1,-1.3,17.5,0.0,308.0,4.4,1023.1
2021-09-23,9.2,-0.4,18.9,0.0,149.0,6.8,1017.1
2021-09-24,7.1,1.2,13.0,2.2,324.0,5.6,1007.2
2021-09-25,6.4,-0.1,12.8,0.0,279.0,7.4,1004.7
2021-09-26,9.2,0.8,17.6,0.0,333.0,3.9,1005.2
2021-09-27,7.0,-3.2,17.2,0.0,308.0,4.8,1012.8
2021-09-28,10.9,2.8,18.9,0.1,81.0,5.4,1013.8
2021-09-29,10.2,0.2,20.3,0.0,159.0,6.8,1019.0
2021-09-30,13.3,4.8,21.9,0.0,145.0,6.1,1020.0
2021-10-01,17.5,11.9,23.0,0.0,97.0,3.9,1016.4
2021-10-02,12.5,8.6,16.4,0.0,53.0,6.5,1015.1
2021-10-03,9.0,2.1,16.0,0.0,353.0,3.4,1015.5
2021-10-04,10.5,-1.2,22.2,0.0,323.0,3.5,1018.4
2021-10-05,11.8,0.7,22.9,0.0,132.0,5.4,1023.5
2021-10-06,10.8,1.2,20.4,0.0,166.0,7.8,1022.8
2021-10-07,12.9,3.5,22.3,0.0,147.0,7.2,1020.1
2021-10-08,11.7,8.3,15.2,3.1,146.0,6.8,1016.5
2021-10-09,14.7,13.5,16.0,0.1,146.0,5.3,1010.8
2021-10-10,15.0,13.5,16.4,16.3,136.0,12.1,1004.1
2021-10-11,15.3,12.6,18.1,0.9,199.0,9.8,999.4
2021-10-12,12.4,10.0,14.7,0.3,339.0,6.1,1013.2
2021-10-13,10.5,8.5,14.4,3.2,40.0,8.9,1013.8
2021-10-14,12.7,9.5,15.9,2.0,171.0,13.8,1001.6
2021-10-15,8.6,5.7,11.5,1.0,239.0,10.5,1004.9
2021-10-16,7.4,3.5,11.3,0.0,279.0,12.7,1006.7
2021-10-17,5.0,-2.7,12.8,0.0,303.0,13.5,1012.0
2021-10-18,6.6,-4.8,17.9,0.0,187.0,5.8,1014.4
2021-10-19,9.1,-0.1,18.4,0.0,333.0,8.4,1012.4
2021-10-20,-1.0,-7.0,5.0,0.0,348.0,6.6,1022.6
2021-10-21,-2.1,-8.0,3.9,0.2,322.0,9.7,1018.6
2021-10-22,3.1,-0.3,6.5,0.0,318.0,8.7,1017.9
2021-10-23,2.0,-1.1,5.1,0.5,323.0,10.3,1016.6
2021-10-24,1.1,-4.1,6.2,0.0,348.0,5.5,1021.4
2021-10-25,2.4,-0.4,5.2,0.1,48.0,5.4,1026.3
2021-10-26,0.8,-3.3,4.9,0.2,86.0,6.5,1024.5
2021-10-27,4.2,1.2,7.1,0.2,131.0,12.9,1017.7
2021-10-28,8.3,6.2,10.4,1.9,153.0,8.9,1011.2
2021-10-29,4.2,-2.0,10.4,2.3,315.0,6.0,1013.4
2021-10-30,3.6,-0.3,7.5,0.9,207.0,6.4,1008.6
2021-10-31,1.4,-1.2,4.0,2.4,311.0,13.1,1009.6
2021-11-01,-0.9,-3.7,2.0,0.5,315.0,14.1,1015.8
2021-11-02,-3.0,-5.7,-0.4,0.1,328.0,9.9,1022.7
2021-11-03,-2.9,-6.1,0.2,0.0,216.0,4.0,1024.8
2021-11-04,-0.1,-8.4,8.2,0.0,218.0,7.3,1018.4
2021-11-05,4.0,-3.8,11.8,0.0,180.0,9.3,1011.8
2021-11-06,3.5,-2.6,9.6,0.0,240.0,5.3,1006.9
2021-11-07,3.5,-3.3,10.3,0.0,148.0,3.1,1011.3
2021-11-08,4.1,-2.8,11.1,0.0,293.0,11.2,1012.9
2021-11-09,1.6,-5.6,8.7,0.0,248.0,12.3,1017.2
2021-11-10,-1.7,-7.7,4.2,0.0,309.0,5.9,1021.0
2021-11-11,-1.4,-2.9,0.1,17.0,75.0,15.3,1011.0
2021-11-12,-1.9,-2.7,-1.0,9.0,14.0,12.5,1007.2
2021-11-13,-2.1,-3.6,-0.6,0.3,330.0,10.6,1010.1
2021-11-14,-6.1,-11.2,-1.0,0.2,330.0,10.3,1011.0
2021-11-15,-7.2,-11.9,-2.6,0.0,340.0,3.1,1018.5
2021-11-16,-6.2,-10.1,-2.3,4.8,139.0,11.8,1015.7
2021-11-17,-0.7,-4.4,2.9,2.6,164.0,8.3,1001.1
2021-11-18,-4.2,-7.2,-1.1,0.6,295.0,23.6,1007.9
2021-11-19,-4.8,-9.1,-0.5,0.0,215.0,11.6,1021.8
2021-11-20,-4.2,-8.8,0.4,0.0,237.0,12.7,1012.6
2021-11-21,-7.3,-12.7,-1.9,1.5,262.0,19.8,1009.3
2021-11-22,-14.2,-19.4,-9.0,0.2,298.0,20.3,1015.6
2021-11-23,-9.7,-18.9,-0.5,0.0,179.0,9.8,1010.4
2021-11-24,-8.4,-13.7,-3.1,0.5,337.0,6.7,1013.0
2021-11-25,-19.0,-27.1,-10.8,0.0,315.0,8.9,1027.3
2021-11-26,-18.5,-29.9,-7.1,0.0,339.0,2.6,1021.9
2021-11-27,-6.6,-11.8,-1.4,0.1,233.0,7.0,1010.9
2021-11-28,-4.5,-7.0,-2.0,0.5,308.0,13.0,1012.6
2021-11-29,-6.9,-9.4,-4.4,0.1,226.0,4.3,1012.6
2021-11-30,-10.6,-19.4,-1.7,0.2,289.0,14.8,1009.7
2021-12-01,-11.4,-20.1,-2.7,10.1,116.0,4.0,1002.7
2021-12-02,-15.7,-25.9,-5.5,0.0,324.0,8.8,1009.2
2021-12-03,-17.5,-28.9,-6.2,2.0,299.0,3.1,1018.0
2021-12-04,-11.3,-16.4,-6.2,0.1,300.0,16.6,1018.2
2021-12-05,-15.6,-23.9,-7.3,1.0,35.0,3.1,1017.7
2021-12-06,-17.0,-26.0,-8.1,2.0,327.0,13.9,1014.1
2021-12-07,-23.9,-28.3,-19.3,0.0,265.0,7.1,1018.5
2021-12-08,-22.7,-27.7,-15.2,0.1,338.0,2.8,1017.0
2021-12-09,-10.6,-18.4,-2.9,6.3,179.0,15.4,1004.9
2021-12-10,-9.1,-15.5,-2.8,0.0,221.0,8.9,1007.5
2021-12-11,-11.0,-18.8,-3.2,0.0,294.0,4.9,1000.1
2021-12-12,-3.6,-8.6,1.5,0.0,233.0,10.4,997.3
2021-12-13,-5.7,-18.3,-1.0,0.9,299.0,11.6,1014.4
2021-12-14,-10.7,-22.6,1.2,0.3,27.0,6.4,1029.6
2021-12-15,2.0,1.1,2.9,0.4,159.0,15.5,1003.5
2021-12-16,-5.2,-12.9,2.4,25.5,322.0,21.0,988.1
2021-12-17,-12.8,-13.8,-11.7,0.0,315.0,15.8,1022.8
2021-12-18,-13.3,-14.4,-12.2,0.0,320.0,5.3,1027.5
2021-12-19,-10.0,-14.7,-5.2,1.7,203.0,11.1,1017.5
2021-12-20,-13.9,-22.4,-5.4,0.1,285.0,24.5,1012.4
2021-12-21,-24.1,-30.7,-17.4,0.9,334.0,4.0,1014.8
2021-12-22,-25.0,-34.9,-15.0,0.0,328.0,2.3,1015.3
2021-12-23,-23.2,-33.5,-12.8,0.0,34.0,4.8,1014.7
2021-12-24,-8.4,-16.1,-0.6,8.9,105.0,8.3,998.9
2021-12-25,-13.2,-23.7,-2.7,0.0,299.0,18.8,1009.7
2021-12-26,-22.3,-29.8,-14.9,0.0,326.0,3.8,1027.2
2021-12-27,-22.3,-29.7,-14.9,3.7,52.0,7.4,1015.8
2021-12-28,-19.2,-24.7,-13.7,0.0,37.0,3.8,1012.2
2021-12-29,-17.0,-21.8,-12.2,4.2,318.0,13.0,1008.5
2021-12-30,-24.5,-31.0,-17.9,2.3,277.0,5.0,1012.7
2021-12-31,-23.0,-27.2,-18.8,0.8,307.0,11.1,1010.8
2022-01-01,-24.7,-29.3,-20.1,0.0,286.0,12.5,1021.0
